player,dismissal,runs,balls,minutes,4s,6s,strike_rate
Taskin Ahmed,not,0,1,2,0,0,0
Jonny Bairstow,b,52,59,80,8,0,88.13
Dawid Malan,b,140,107,106,16,5,130.84
Joe Root,c,82,68,107,8,1,120.58
Jos Buttler,b,20,10,11,1,1,200
Harry Brook,c,20,15,23,3,0,133.33
Liam Livingstone,b,0,1,1,0,0,0
Sam Curran,c,11,15,20,1,0,73.33
Chris Woakes,c,14,11,21,2,0,127.27
Adil Rashid,c,11,7,8,1,0,157.14
Mark Wood,not,6,5,6,1,0,120
Reece Topley,not,1,2,2,0,0,50
Rahmanullah Gurbaz,run,80,57,87,8,4,140.35
Ibrahim Zadran,c,28,48,73,3,0,58.33
Rahmat Shah,st,3,8,10,0,0,37.5
Hashmatullah Shahidi,b,14,36,46,0,0,38.88
Azmatullah Omarzai,c,19,24,25,1,1,79.16
Ikram Alikhil,c,58,66,92,3,2,87.87
Mohammad Nabi,c,9,15,14,1,0,60
Rashid Khan,c,23,22,37,3,0,104.54
Mujeeb Ur Rahman,c,28,16,22,3,1,175
Naveen-ul-Haq,run,5,6,9,1,0,83.33
Fazalhaq Farooqi,not,2,4,7,0,0,50
Jonny Bairstow,c,30,31,64,3,0,96.77
Dawid Malan,c,28,25,32,6,0,112
Joe Root,run,3,10,14,0,0,30
Ben Stokes,c,43,73,98,6,0,58.9
Jos Buttler,c,8,6,6,1,0,133.33
Liam Livingstone,lbw,1,6,9,0,0,16.66
Moeen Ali,c,15,15,33,1,0,100
Chris Woakes,c,0,4,8,0,0,0
David Willey,not,14,17,34,1,1,82.35
Adil Rashid,run,2,7,7,0,0,28.57
Mark Wood,st,5,6,6,1,0,83.33
Devon Conway,c,32,40,51,5,1,80
Will Young,c,70,80,106,7,2,87.5
Rachin Ravindra,c,51,51,87,3,1,100
Daryl Mitchell,b,48,47,67,5,2,102.12
Tom Latham,st,53,46,72,6,1,115.21
Glenn Phillips,c,4,4,6,1,0,100
Mark Chapman,c,5,13,11,0,0,38.46
Mitchell Santner,not,36,17,25,3,2,211.76
Matt Henry,not,10,4,6,0,1,250
Rahmanullah Gurbaz,c,21,25,38,2,0,84
Ibrahim Zadran,not,129,143,217,8,3,90.2
Rahmat Shah,c,30,44,61,1,0,68.18
Hashmatullah Shahidi,b,26,43,50,2,0,60.46
Azmatullah Omarzai,c,22,18,23,1,2,122.22
Mohammad Nabi,b,12,10,15,0,1,120
Rashid Khan,not,35,18,25,2,3,194.44
Abdullah Shafique,c,9,17,21,1,0,52.94
Imam-ul-Haq,c,12,18,35,2,0,66.66
Babar Azam,c,50,65,100,4,1,76.92
Mohammad Rizwan,c,31,27,35,4,1,114.81
Iftikhar Ahmed,c,21,31,38,1,1,67.74
Saud Shakeel,c,52,52,81,7,0,100
Shadab Khan,c,43,36,53,3,2,119.44
Mohammad Nawaz,c,24,24,32,1,2,100
Shaheen Shah Afridi,c,2,4,10,0,0,50
Mohammad Wasim,c,7,9,13,0,1,77.77
Haris Rauf,not,0,1,5,0,0,0
Quinton de Kock,c,114,116,176,10,3,98.27
Temba Bavuma,c,24,28,37,4,1,85.71
Rassie van der Dussen,b,133,118,172,9,5,112.71
David Miller,c,53,30,48,2,4,176.66
Heinrich Klaasen,not,15,7,13,1,1,214.28
Aiden Markram,not,6,1,1,0,1,600
Quinton de Kock,c,100,84,140,12,3,119.04
Temba Bavuma,lbw,8,5,9,2,0,160
Rassie van der Dussen,c,108,110,161,13,2,98.18
Aiden Markram,c,106,54,84,14,3,196.29
Heinrich Klaasen,c,32,20,30,1,3,160
David Miller,not,39,21,36,3,2,185.71
Marco Jansen,not,12,7,15,0,1,171.42
Mitchell Marsh,c,9,15,15,2,0,60
David Warner,c,104,93,182,11,3,111.82
Steven Smith,c,71,68,88,9,1,104.41
Marnus Labuschagne,c,62,47,60,7,2,131.91
Josh Inglis,c,14,12,12,1,1,116.66
Glenn Maxwell,c,106,44,53,9,8,240.9
Cameron Green,run,8,11,15,1,0,72.72
Pat Cummins,not,12,9,39,2,0,133.33
Mitchell Starc,c,0,1,1,0,0,0
Adam Zampa,not,1,1,2,0,0,100
Tanzid Hasan,lbw,51,43,75,5,3,118.6
Litton Das,c,66,82,124,7,0,80.48
Najmul Hossain Shanto,lbw,8,17,18,0,0,47.05
Mehidy Hasan Miraz,c,3,13,15,0,0,23.07
Towhid Hridoy,c,16,35,54,0,0,45.71
Mushfiqur Rahim,c,38,46,60,1,1,82.6
Mahmudullah,b,46,36,60,3,3,127.77
Nasum Ahmed,c,14,18,21,2,0,77.77
Mustafizur Rahman,not,1,7,19,0,0,14.28
Shoriful Islam,not,7,3,2,0,1,233.33
Quinton de Kock,b,109,106,147,8,5,102.83
Temba Bavuma,c,35,55,84,2,0,63.63
Rassie van der Dussen,c,26,30,33,2,0,86.66
Aiden Markram,c,56,44,61,7,1,127.27
